neighborhood,year,sale_price_sqr_foot,housing_units,gross_rent
Union Square District,2012.5,903.9932576720645,377427.5,2555.1666666666665
Merced Heights,2014.0,788.8448175872469,380348.0,3414.0
Miraloma Park,2011.75,779.810842264425,375967.25,2155.25
Pacific Heights,2013.0,689.5558168113664,378401.0,2817.285714285714
Westwood Park,2015.0,687.0875745178322,382295.0,3959.0
Telegraph Hill,2013.0,676.5065775293257,378401.0,2817.285714285714
Presidio Heights,2013.0,675.3502120510033,378401.0,2817.285714285714
Cow Hollow,2013.0,665.9640415783227,378401.0,2817.285714285714
Potrero Hill,2013.0,662.0136128276529,378401.0,2817.285714285714
South Beach,2011.6666666666667,650.1244791945729,375805.0,2099.0
